Ward,Name,Post_code,Address,Opening time
,OneStonegrove Centre,HA8 8BN,"5 Hayling Way, Edgware, HA8 8BN",
,Osidge library,N11 1EY,"Brunswick Park Rd, London, N11 1EY",
,Personal Improvement Limited,HA8 8NP,"Chartwell House, 292-294 Hale Lane, Edgware, HA8 8NP",
,Romanian Culture and Charity Together – Burnt Oak,HA8 0LN,"102a Watling Avenue, HA8 0LN",
,St Margaret’s Church - Age UK,HA8 7JE,"St Margaret’s Church, 1 Station Road, Edgware, HA8 7JE",
,St Margaret's URC Church - Age UK,N3 1BD,"St Margaret's URC Church, Victoria Avenue, Finchley Central, N3 1BD",
,St Paul's Church Centre,N3 2PU,"50 Long Lane, Finchley, London, N3 2PU",
,St Peter’s Church,N10 1AQ,"St Peter’s Church, Albion Avenue, Friern Barnet, N10 1AQ",
,The Mount International School - Age UK,NW7 2RX,"The Mount International School, Milespit Hill, Mill Hill, NW7 2RX",
,West Hendon Centre - Age UK,NW9 7EU,"West Hendon Centre, Gadsbury Close, Goldsmith Avenue, West Hendon, London, NW9 7EU",
Bexley,Christ Church,DA6 7BT,"Christ Church, Bexleyheath Broadway, Bexleyheath, DA6 7BT",Thursday 10am to 12pm
,Christ Church,DA14 6NJ,"Christ Church, Sidcup, Main Road, Bexley, DA14 6NJ",Monday 9am to 1pm
,St Augustine,DA8 2HX,"St Augustine, Slade Green ,Slade Green Road, Slade Green, DA8 2HX",Tuesday 11am to 2pm
,St John the Evangelist Church,DA14 6BX,"St John the Evangelist Church, Church Road, Sidcup DA14 6BX",
,St Paulinus,DA1 4RL,"St Paulinus, Crayford, Perry Street, Crayford, DA1 4RL",Saturday 9.30am to 12.30pm
,The Exchange,DA8 1RS,"The Exchange, The Old Library, Walnut Tree Rd, Erith DA8 1RS",Thursday 11am to 7pm and Saturday 11am to 2pm.
,The Holy Redeemer,DA15 8JR,"The Holy Redeemer, Sidcup, 64 Days Lane, Sidcup, DA15 8JR","Tuesday 2 to 4pm (hot drinks, snacks, knit, natter and crochet), Wednesday 1pm to 3pm (hot drinks, cake, chat and art activities. Free WiFi and phone charging) and Friday 9am to 11am."
,Holy Trinity,DA15 9AE,"Holy Trinity, Lamorbey, Sidcup, Corner of Hurst Road & Half Way Street, Sidcup, DA15 9AE",Daily from 10am to 2pm.
,Blackfen Community Library,DA15 9LU,"Blackfen Community Library, 7 - 9 Blackfen Parade, Blackfen DA15 9LU",Tuesday to Friday 9.30am to 5pm and Saturday 9.30am to 3pm.
,Welling Salvation Army,DA161TJ,"Welling Salvation Army, 124 Welling High Street, Welling, DA161TJ",Fridays 10am to 2pm
,New Community Church,DA157DU,"New Community Church, 24 Station Road, Sidcup, DA157DU",Wednesdays 9:30am to 12pm
,United Reformed Church,DA6 7DJ,"United Reformed Church, Geddes Place, Bexleyheath, DA6 7DJ","every Monday, Wednesday and Friday 10am to 12 midday at the United Reformed Church and Thursday 10am to midday in the Hall."
,The Salvation Army,DA6 8NR,"The Salvation Army, Lion Road, Bexleyheath, DA6 8NR","We invite you to our Warm Welcome Space open every Tuesday, Thursday and Friday between 10am and 2pm."
Brent,St Laurence's Larder and Open Kitchen,NW6 7BJ ,"Christ Church, Christchurch Avenue, London NW6 7BJ  ",
Bromley,Penge East Community Centre,SE20 7BE,"Penge East Railway Station Carpark, Station Road",
,Queen Adelaide Community Centre,SE20 7EA,"Queen Adelaide Court, Queen Adelaide Road,",
,St Johns Church Penge Lunchtime Club,SE20 7EQ,2 St Johns Road,
,St Hugh’s Community Centre,SE20 8PL,"42 Castledine Road,",
,"Anerley Town Hall, Crystal Palace Community Trust (over 55s)",SE20 8BD,Anerley Town Hall,
,Melvin Hall,SE20 8EU,"Melvin Road,",
,"Well Community Cafe, Living Well, Holy Trinity Church",SE20 7LX,66 Lennard Road,
,Penge Library,SE20 7JX,46 Green Lane,
,Christ Central Church,SE20 7JA,Green Lane,
,Beckenham Library,BR3 4PE,Beckenham Road,
,"St. George’s Church, Beckenham",BR3 1HX,"High Street,",
,"Green Bird Cafe, St John’s Church",BR3 3JN,251 Eden Park,
,West Wickham & Shirley Baptist Church,CR0 8EH,Wickham Road,
,St Francis of Assisi Church,BR4 0PW,Ravenswood Avenue,
,Emmanuel United Reformed Church,BR4 9JS,"The Grove,",
,West Wickham Library,BR4 0SH,"Glebe Way, West Wickham",
,West Wickham Methodist Church,BR4 9AA,Hawes Lane (corner of Linden Leas),
,Shortlands Library,BR2 0JP,110 Shortlands Road,
,"Parish Church of St Mary, Shortlands",BR2 0HG,"Church House, 39 Kingswood Road",
,Coney Hall Baptist Church,BR4 9BU,"Coney Hill Road,",
,Hayes Library,BR2 7LH,Hayes Street,
,Bromley Salvation Army,BR1 1HU,Ethelbert Road,
,Bromley Central Library,BR1 1EX,Bromley High Street,
,Bromley United Reformed Church,BR1 1RY,20 Widmore Rd,
,Bromley Common Baptist Church,BR2 8PE,Gravel Road,
,Turpington Lane Community Centre,BR2 8JX,"Turpington Lane,",
,Southborough Library,BR2 8AP,"Southborough Lane, Bromley",
,"St Augustine's Church, BR2",BR2 8AT,Southborough Lane,
,Petts Wood Library,BR5 1BP,Frankswood Avenue,
,"St Paul's Crofton, Elderberry Cafe",BR6 8JE,"Parish Church of St Paul's, Crofton Road,",
,Crofton Baptist Church,BR51HD,100 Crofton Lane,
,St Paul's Cray Library,BR5 2RW,"Mickleham Road, St Paul's Cray",
,"St Nicholas Church, Orpington",BR6 9QB,"Leamington Avenue,",
,Holy Innocents (Cafe Joseph),BR6 9UE,"Strickland Way,",
,"Orpington Baptist Church and ""The Lounge """,BR6 0RZ,"Station Road,",
,Orpington Library,BR6 0TW,The Walnuts,
,"Christ Church, Orpington",BR6 9EP,Charterhouse Road,
,"Unity Church, Orpington",BR5 4NH,"Rye Crescent,",
,Chelsfield Community Cafe at Chelsfield Village Hall,BR6 7RL,Bucks Cross Road,
,Biggin Hill Library,TN16 3LB,"Church Road, Biggin Hill",
Camden,Bengali Workers Association,NW1 3JU ,"The Surma Community Centre, 1 Robert Street, NW1 3JU",
,Bourne Estate Tenant Residents Association,EC1N 7AA,"Allen Hall, Unit 1 Dobson Court, Bourne Estate, EC1N 7AA",
,British Somali Community Centre,NW1 1TU,"7-9 Crowndale Road, NW1 1TU",
,Castlehaven Community Association,NW1 8RU,"23 Castlehaven Road, NW1 8RU",
,Community Association for West Hampstead,NW6 1QN,"17 Dornfell Street, NW6 1QN",
,Fitzrovia Community Centre,W1W 6DL,2 Foley Street W1W 6DL,
,Holborn Community Association - Holborn House Community Centre,WC1N 3QW,"35 Emerald Street, WC1N 3QW",
,Holborn Community Association - Millman Street Community Centre,WC1N 3EW,"50 Millman Street, WC1N 3EW",
,JW3,NW3 6ET,"341-351 Finchley Road, NW3 6ET",
,Kentish Town City Farm,NW5 4BN,"1 Cressfield Close, NW5 4BN",
,Kentish Town Community Centre,NW5 2SP ,"17 Busby Place, NW5 2SP ",
,King's Cross Brunswick Neighbourhood Association (KCBNA) - Chadswell Healthy Living Centre,WC1H 8JF,"Chadswell Healthy Living Centre, Harrison Street, WC1H 8JF",
,King's Cross Brunswick Neighbourhood Association (KCBNA) - The Marchmont Centre,WC1N 1AB,"62 Marchmont Street, WC1N 1AB",
,Lauderdale House,N6 5HG,"Waterlow Park, N6 5HG",
,London Irish Centre,NW1 9XB,"50-52 Camden Square, NW1 9XB",
,N1C Centre - Somali Youth Development Resource Centre,N1C 4BQ,"Plimsoll building, N1C 4BQ",
,Netherwood Youth and Family Hub,NW6 2QU ,"5 Netherwood Street, NW6 2QU ",
,Old Diorama Arts Centre,NW1 3FE,"201 Drummond Street, NW1 3FE",
,Primrose Hill Community Centre,NW1 8TN,"29 Hopkinson's Place, NW1 8TN",
,Queens Crescent Community Association,NW5 4QE,"45 Ashdown Crescent, NW5 4QE",
,Sidings Community Centre,NW6 2BA,"16 Brassey Road, NW6 2BA",
,Somers Town Community Association,NW1 1DF,"2 Ossulston Street, NW1 1DF",
,Somers Town Youth Centre,NW1 1RX ,"134 Chalton Street, NW1 1RX ",
,St George the Martyr Church,WC1N 3AH,"44 Queen Square, WC1N 3AH",
,St Pancras Community Association,NW1 OLB,"67 Plender Street, NW1 OLB",
,South Hampstead and Kilburn Partnership (SHAK) - The ARC Youth Club,NW8 0SW ,"Alexandra Resource Centre, Opposite 109 Rowley Way, NW8 0SW",
,South Hampstead and Kilburn Partnership (SHAK) - Shell Centre 1,NW8 0HS,"Shell 1 - Linnell House, Boundary Road, NW8 0HS",
,South Hampstead and Kilburn Partnership (SHAK) - Shell Centre 2,NW8 0HU,"Shell 2 - Fielding House, Boundary Road, NW8 0HU",
,The Francis Crick Institute,NW1 1AT,"1 Midland Road, NW1 1AT",
,The O2 Centre,NW3 6LU,"The Venue Hall (located on level 2), 255 Finchley Road, NW3 6LU",
,The Pirate Castle,NW1 7EA,"Gilbey's Wharf, Oval Road, NW1 7EA",
,Third Age Project ,NW1 3RH,"Cumberland Market, Regent's Park, NW1 3RH",
City of London,Barbican Library,EC2Y 8DS,"Barbican Library, Barbican Centre London, England, EC2Y 8DS, United Kingdom",
,Shoe Lane Library,EC4A 3JR,1 Hill House Little New Street,
,In Kind Direct,EC3R 8EE,"11-15 Saint Mary at Hill London, England, EC3R 8EE, United Kingdom",
Croydon,Ashburton Hall & Park - Cafe,SE25 4SP,"Woodside Baptise Church, Spring Lane, London, SE25 4SP.","Tuesday and Thursday 12noon to 2pm, The cafe will be closed from 19 December to 2 January 2023"
,Ashburton Library,CR9 7AL,"Shirley Road, London, CR9 7AL.","Monday, Tuesday and Thursday 10am to 6pm, Saturday 9am to 5pm"
,Bradmore Green Library,CR5 1PE,"Bradmore Way, Coulsdon, CR5 1PE.",Tuesday and Friday 10am to 6pm
,Broad Green Library,CR0 3HH,"Canterbury Road, London, CR0 3HH.",Monday and Thursday 10am to 6pm
,Central Library,CR9 1ET,"Katharine Street, London, CR9 1ET.","Monday, Tuesday, Wednesday, Friday 10am to 6pm"
,"Coffee, Craft & Chatter at All Saints Church, Kenley",CR8 5DW,"Church Road, London, CR8 5DW.",Wednesday 10am to 12 noon
,Coulsdon Library,CR5 2NH,"Brighton Road, Coulsdon, CR5 2NH.","Monday and Thursday 10am to 6pm, Saturday 9am to 5pm"
,Emmanuel Community Centre,CR2 7AQ,"Rockhampton Road, London, CR2 7AQ.",Friday 8.45am to 5pm
,His Grace Evangelical Outreach Church,CR7 8JF,"His Grace Evangelical Outreach, 80-82 Beaulah Road, Croydon, CR7 8JF.","Tuesday 12 noon to 2pm, Thursday 3pm to 6pm"
,Matthews Yard,CR0 1UF,"North End 166, London, CR0 1UF.",
,MHA Communities South London,CR0 2RF,"West Croydon Methodist Church, London Road, Croydon, CR0 2RF.",
,MHA The Wilderness,CR9 5AL,"Shirley Church Road, London, CR9 5AL.",
,New Addington Baptist Church,CR0 0EE,"New Addington Baptist Church, Arnhem Drive, Croydon, CR0 0EE.",
,New Addington Library,CR0 0JD,"Central Parade, New Addington, CR0 0JD.",
,Norbury Library,SW16 4UW,"Beatrice Avenue, London, SW16 4UW.",
,Oasis Academy Shirley Park,CR9 7AL,"Shirley Road, Croydon, CR9 7AL.",
,Old Coulsdon Congregational Church,CR5 2LG,"Coulsdon Road 1, London, CR5 2LG.",
,Palace For Life Foundation,SE25 6PU,"Selhurst Park, London, se25 6pu.",
,Phoenix Community Centre,SE19 3AB,"Phoenix Community Centre, Westow Street, London, SE19 3AB.",
,Purley Library,CR8 3YH,"Banstead Road, London, CR8 3YH.",
,Purley United Reform Church,CR8 2LN,"Brighton Road 922, London, CR8 2LN.",
,"Quiz, Craft and Tea at Christ Church, Broad Green",CR0 3LJ,"Sumner Road, London, CR0 3LJ.",
,Sanderstead Library,CR2 0HQ,"Farm Fields, London, CR2 0HQ.",
,Selsdon Library,CR2 8LA,"Addington Road 130, London, CR2 8LA",
,Shirley Library,CR0 8BH,"Wickham Road, London, CR0 8BH.",
,South Norwood Community Kitchen,SE25 4UF,"44b Portland Road, London, SE25 4UF.",
,South Norwood Library,SE25 5AA,"Lawrence Road, London, SE25 5AA.",
,St Alban the Martyr Church,SE25 6RE,"1 Whitehorse Lane, London, SE25 6RE.",
,St Andrew's Roman Catholic Church,CR7 7DA,"St. Andrew's Church Hall, Quadrant Road, London, CR7 7DA.",
,St Francis Monks Hill,CR2 8HP,"107 Broadcoombe,, 107 Broadcoombe,, Croydon, CR2 8HP.",
,St George's Church Centre,CR0 4EZ,"Barrow Road, London, CR0 4EZ.",
,St Mary the Blessed Virgin,CR0 5AS,"Addington Village Road, London, CR0 5AS.",
,St Michael’s Church,CR0 1UA,"Poplar Walk, London, CR0 1UA.",
,St Mildred's Parish Church,CR0 7EB,"St Mildred's Parish Church, 30 Bingham Road, Croydon, CR0 7EB.",
,St Oswald's Parish Hall,SW16 3SB,"St. Oswald's Road, London, SW16 3SB.",
,St Paul's United Reformed Church,CR2 7AE,"St Paul's United Reformed Church, Croham Road, London, CR2 7AE.",
,St. Edward King and Confessor Church,CR0 0DL,"St. Edward King and Confessor Church, Cleves Crescent, Croydon, CR0 0DL.",
,The Hub on the Hill at St Barnabas Church,CR8 2HR,"Higher Drive 69, London, CR8 2HR.",
,"The Hub, Kenley Memorial Hall",CR8 5AB,"Godstone Road 92, London, CR8 5AB.",
,The Oval Tavern,CR0 6BR,"Oval Road 131, London, CR0 6BR.",
,The Salvation Army,CR0 1XY,"Booth Road, London, CR0 1XY.",
,Thornton Heath Library,CR7 7JH,"Brigstock Road, London, CR7 7JH.",
,Torchlight Ministries,SE25 6XX,"Brookhurst Court,, 190 Selhurst Road, South Norwood, London, SE25 6XX.",
,Waddon Leisure Centre,CR0 4GD,"Waddon Leisure Centre, Purley Way, Croydon, CR0 4GD.",
,Heart and Soul Pop Up Cafe,SW16 3SB,"St. Oswald's Road, London, SW16 3SB.",
,West Wickham and Shirley Baptist Church,CR0 8EB,"Wickham Road, London, CR0 8EB.",
Ealing,Acton Town Hall Library,W3 6NE,"Acton Town Hall Library, Everyone Active Acton Centre, High Street, Acton W3 6NE",
,Ealing Central Library,W5 5JY,"Ealing Central Library, Ealing Broadway Centre, Ealing W5 5JY",
,Greenford Library,UB6 9LG,"Greenford Library, Oldfield Lane South, Greenford, Middlesex UB6 9LG",
,Hanwell Community Library,W7 3HL,"Hanwell Community Library Cherington Road, London W7 3HL",
,Jubilee Gardens Health Centre,UB1 2TJ,"Jubilee Gardens Health Centre, Jubilee Gardens, Southall UB1 2TJ",
,Northfields Community Library,W5 4UA ,"Northfields Community Library, Northfield Avenue, London W5 4UA ",
,Northolt Leisure Centre,UB5 4AB,"Northolt Leisure Centre, Eastcote Lane North, Northolt UB5 4AB",
,Church Road,UB5 5AS,"Church Road, Northolt, Middlesex UB5 5AS",
,Perivale Community Hive,UB6 7NT,"Perivale Community Hive, Horsenden Lane South, Perivale UB6 7NT ",
,Pitshanger Library,W5 1RH,"Pitshanger Library, 143-145 Pitshanger Lane, London W5 1RH ",
,Dominion Centre and Library,UB2 4BQ,"Dominion Centre and Library, 112 The Green, Southall, Middlesex UB2 4BQ",
,Patient's Library,UB1 3EU,"Patient's Library, St Bernard's Hospital, Uxbridge Road, Southall UB1 3E",
,West Ealing Community Library,W13 9BT,"Melbourne Ave, London W13 9BT",
,The Hub in the foyer at St. Pauls Ealing,W13 9XW,"St Paul’s Church, Ealing, Ridley Ave, London W13 9XW, UK",
,"Saint Joseph the Worker Parish Church, Northolt",UB5 6JT,"Off Beauvais Terrace, Yeading Ln, Northolt UB5 6JT, UK",
,Asian Community Concern,UB2 5PA,"Unit 2, Luther House, 30 Montague Waye, Southall UB2 5PA",
,Arya Samaj London,W13 0LY,"Arya Samaj, Argyle Road, London W13 0LY, UK",
,Pitshanger Methodist Church,W5 1QP,"Pitshanger Methodist Church, Pitshanger Lane, London W5 1QP, UK",
,Clementina Day Centre,UB6 0PD,"All Hallows Church, 72 Horsenden Lane North, Greenford UB6 0PD, UK",
,"St John’s Parish Centre, Southall Green",UB2 4NT,"St John's Parish Centre, Guru Nanak Road, Southall UB2 4NT, UK",
,Ealing Carers Hub,W3 8PH,"Sycamore Lodge, Edgecote Close, London W3 8PH, UK",
,"St Mary’s Church, Hanwell",W7 3QP,"St Mary's Church Hall, 62 Greenford Avenue, London, W7 3QP",
,St Mary with St Richard Memory Cafe,UB5 6AA,"St Marys C Of E Church, Northolt, UB5 6AA",
,Umeed Wellbeing Hub,UB1 1AT,"88 Lancaster Road, Southall UB1 1AT, UK",
,"St George’s Church, Southall",UB1 1NP,"St George's C of E Church, Southall, Lancaster Road, Southall UB1 1NP, UK",
,Southall Christian Fellowship,UB2 4BL,"7 Osterley Park Rd, Southall UB2 4BL, UK",
,"St Mary’s Church, Norwood Green",UB2 4LQ,"Parish Church of Saint Mary the Virgin Norwood Green, Tentelow Lane, Southall UB2 4LQ, UK",
,Southall Baptist Church,UB2 5DS,"Southall Baptist Church, Western Road, Southall UB2 5DS, UK",
,Greenford Baptist Church,UB6 9UA,"Greenford Baptist Church, Beechwood Avenue, Greenford UB6 9UA",
,UKIM West London Islamic Centre,W13 0SQ,"West London Islamic Centre, Brownlow Road, West Ealing, London, West Ealing W13 0SQ, UK",
,St Barnabas Church Memory Cafe,W5 1QG,"St Barnabas Church, Pitshanger Lane, London W5 1QG, UK",
,A2Dominion Warm Hub and advice,W13 9LA,"Lido Centre, Mattock Lane, London, W13 9LA",
,Nucleus,W13 9LA,"Lido Centre, Mattock Lane, London, W13 9LA",
,Mael Gael,UB2 4LA,"Norwood Hall, Norwood Green Road, Southall UB2 4LA, UK",
,"Emmanuel Church, Southall",UB1 3LP,"Emmanuel Church, Fleming Road, Southall UB1 3LP, UK",
,Voice of Women London Ltd,UB1 2HE,"Christ The Redeemer C Of E Church, Allenby Road, Sunnycroft Road, Southall, UK",
,Education and Skills Development Group (ESDEG),UB5 6HW,"Viking Community Centre, Radcliffe Way, Northolt UB5 6HW, UK",
,Somali Women’s Empowerment & Organising Services,UB2 5EQ,"32 Sussex Road, Southall UB2 5EQ, UK",
Enfield,Cooking Champions Community Kitchen,EN3 4LA,"St. Matthew’s Church Hall, South Street Enfield, England, EN3 4LA, United Kingdom",
,St Peter's Church,N9 8JR,"Bounces Road London, England, N9 8JR, United Kingdom",
Greenwich,Abbey Wood Community Centre,SE2 0YS,"Abbey Wood Community Centre 4 Knee Hill, Abbey Wood, London SE2 0YS",
,Abbey Wood Library,SE2 9PT,Eynsham Drive Abbey Wood SE2 9PT,
,Armada Community Project,SE8 3EZ,Armada Court 21 McMillan Street SE8 3EZ,Thursday: 11am to 3pm
,Barnfield Hub,SE18 3BD,Barnfield Hub Herbert Place Plumstead SE18 3BD,Monday to Sunday 10am to 10pm
,Black Female Entrepreneur Greenwich,SE18 4DW,LALU Catering Restaurant 7 Leslie Smith Square Woolwich Common SE18 4DW,
,Blackheath Library,SE3 7BT,Old Dover Road Blackheath SE3 7BT,"Monday: 10am to 7pm, Tuesday: 9am to 5:30pm, Wednesday: 9am to 5:30pm, Thursday: 9am to 7pm, Friday: 9am to 5:30pm, Saturday: 9am to 5pm, Sunday: Closed"
,Bromley Reform Synagogue,BR1 4AD,28 Highland Road Bromley Kent BR1 4AD,10.30am to 2.30pm the second and fourth Wednesdays of the month
,Brookhill Children's Centre,SE18 6BD,Brookhill Children's Centre 42 Brumwell Avenue Woolwich SE18 6BD,Tuesday 1pm to 2.30pm reception area (overseen by reception staff and one other member of the team)
,Central Eltham Youth Project,SE9 5DN,"CEYP 4 Pound Place, Eltham London SE9 5DN",Monday to Friday 10.30am to 2pm and 3pm to 6pm
,Charlton Library,SE7 8RE,Charlton House Charlton Road SE7 8RE,"Monday: 2pm to 7pm, Tuesday: 9am to 1pm then 2pm to 5:30pm, Wednesday: Closed, Thursday: 2pm to 7pm, Friday: 9am to 1pm then 2pm to 5:30pm, Saturday: 9am to 1pm, then 2pm to 5pm, Sunday: Closed"
,Clockhouse Community Centre,SE18 5QL,Clockhouse Community Centre Defiance Walk Woolwich Dockyard London SE18 5QL,Monday to Friday 8.30am to 7.30pm
,Coldharbour Library,SE9 3AY,William Barefoot Drive Eltham SE9 3AY,"Monday: 2pm to 5.30pm Tuesday: 9am to 1pm then 2pm to 5:30pmWednesday: Closed, Thursday: 2pm to 5.30pm, Friday: 9am to 1pm then 2pm to 5.30pm, Saturday: 9am to 1pm, then 2pm to 5pm, Sunday: Closed"
,Commmunity Association of New Eltham,SE9 3QT,Commmunity Association of New Eltham Southwood Road Eltham SE9 3QT,
,Discovery Children's Centre,SE28 0JN,Discovery Children's Centre Battery Road Thamesmead SE28 0JN,Main area Monday and Thursday 11.30am to 1.30pm (unstaffed)
,Eltham Centre Library,SE9 1HA,Archery Road Eltham SE9 1HA,"Monday: 9am to 7pm Tuesday: 9am to 5:30pm, Wednesday: 9am to 5:30pm, Thursday: 9am to 7pm, Friday: 9am to 5:30pm, Saturday: 9am to 5pm, Sunday: 12noon to 4pm"
,Eltham Green Community Church,SE9 6DH,542 Westhorne Avenue SE9 6DH,Fridays 10am to 12noon
,Eltham Park Baptist Church,SE9 1JE,Eltham Park Baptist Church 32A Westmount Road Eltham SE9 1JE,Friday 10am to 12noon
,Forum Greenwich,SE10 9EQ,Forum @ Greenwich Christ Church Trafalgar Road Greenwich SE10 9EQ,Wednesday and Friday 1pm to 4pm
,Hawksmoor Youth Club,SE28 8AS,Hawksmoor Youth Club Bentham Road Thamesmead SE28 8AS,Monday and Tuesday 9am to 11am
,Middle Park Community Centre,SE9 5SD,Middle Park Community Centre 150 Middle Park Avenue Eltham SE9 5SD,
,Mottingham Methodist Church,SE9 4QR,Methodist Church Mottingham Road Mottingham Village SE9 4QR,Wednesday 10am to 2pm
,Mycenae House,SE3 7SE,Mycenae House 90 Mycenae Road London SE3 7SE,Monday to Saturday 9am to 10.30pm
,National Maritime Museum,SE10 9NF,Voyagers Gallery National Maritime Museum Romney Road SE10 9NF,10am to 5pm
,New Charlton Community Centre,SE7 8DB,New Charlton Community Centre 217 Maryon Road Charlton SE7 8DB,
,New Eltham Library,SE9 3QT,Southwood Road New Eltham SE9 3QT,
,New Eltham Methodist Church and Community Centre,SE9 3UL,The Centre New Eltham Methodist Church 435 Footscray Road New Eltham SE9 3UL,Wednesday 10am to 1pm
,Plumstead Centre Library,SE18 1DB,Plumstead High Street SE18 1DB,"Monday: 9am to 5.30pm Tuesday: 9am to 5:30pmWednesday: 9am to 5:30pm, Thursday: 9am to 7pm, Friday: 9am to 5:30pm, Saturday: 9am to 5pm, Sunday: Closed"
,Pound Park Children's Centre,SE7 8AF,Pound Park Children's Centre Pound Park Road Charlton SE7 8AF,Tuesday 3.30pm to 5pm and Thursday 12.30pm to 2pm
,Quaggy Children's Centre,SE13 7QZ,Quaggy Children's Centre Orchard Road Hill Lewisham SE13 7QZ,"Monday, Wednesday, Thursday 3.30pm to 5.30pm and Friday 11am to 1pm (creche room)"
,Roots4Life,SE9 3UL,245 Footscray Road London,
,Samuel Montagu Youth Centre,SE3 8ND,Samuel Montagu Youth Centre 122 Broad Walk Kidbrooke SE3 8ND,Monday to Friday 4pm to 9pm and Saturday to Sunday 9am to 5pm
,Seniors in Touch,SE28 8DJ,Titmuss Avenue Baptist Church Hall 85 Titmuss Avenue Thamesmead SE28 8DJ,Tuesday 11am to 2pm
,Sherington Children's Centre,SE7 7JW,Sherington Children's Centre 14 Sherington Road Charlton SE7 7JW,Monday 12.30pm to 2pm and Wednesday 3.30pm to 5pm (creche room) - 3.30pm to 5pm on Monday and Thursday (creche room staffed)
